"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1325546","39.897025","-104.961099","167",
"1325546","39.896835","-104.961106","168",
"1325546","39.896835","-104.961106","169",
"1325546","39.896644","-104.961104","170",
"1325546","39.896644","-104.961104","171",
"1325546","39.896454","-104.961092","172",
"1325546","39.896454","-104.961092","173",
"1325546","39.896264","-104.961072","174",
"1325546","39.896264","-104.961072","175",
"1325546","39.896075","-104.961043","176",
"1325546","39.896075","-104.961043","177",
"1325546","39.895886","-104.961005","178",
"1325546","39.895886","-104.961005","179",
"1325546","39.895699","-104.960958","180",
"1325546","39.895699","-104.960958","181",
"1325546","39.895513","-104.960902","182",
"1325546","39.895513","-104.960902","183",
"1325546","39.895329","-104.960837","184",
"1325546","39.895329","-104.960837","185",
"1325546","39.895147","-104.960764","186",
"1325546","39.895147","-104.960764","187",
"1325546","39.894967","-104.960682","188",
"1325546","39.894967","-104.960682","189",
"1325546","39.89479","-104.960592","190",
"1325546","39.89479","-104.960592","191",
"1325546","39.894615","-104.960494","192",
"1325546","39.894615","-104.960494","193",
"1325546","39.894443","-104.960387","194",
"1325546","39.894443","-104.960387","195",
"1325546","39.894274","-104.960272","196",
"1325546","39.894274","-104.960272","197",
"1325546","39.894109","-104.96015","198",
"1325546","39.894109","-104.96015","199",
"1325546","39.893947","-104.960019","200",
"1325546","39.893947","-104.960019","201",
"1325546","39.893788","-104.959881","202",
"1325546","39.893788","-104.959881","203",
"1325546","39.893634","-104.959736","204",
"1325546","39.893634","-104.959736","205",
"1325546","39.893484","-104.959584","206",
"1325546","39.893484","-104.959584","207",
"1325546","39.893338","-104.959424","208",
"1325546","39.893338","-104.959424","209",
"1325546","39.893197","-104.959258","210",
"1325546","39.893197","-104.959258","211",
"1325546","39.893061","-104.959085","212",
"1325546","39.893061","-104.959085","213",
"1325546","39.892929","-104.958906","214",
"1325546","39.892929","-104.958906","215",
"1325546","39.892912","-104.958882","216",
"1325546","39.892912","-104.958882","217",
"1325546","39.892896","-104.958858","218",
"1325546","39.892896","-104.958858","219",
"1325546","39.892879","-104.958835","220",
"1325546","39.892879","-104.958835","221",
"1325546","39.892863","-104.95881","222",
"1325546","39.892863","-104.95881","223",
"1325546","39.892846","-104.958786","224",
"1325546","39.892846","-104.958786","225",
"1325546","39.89283","-104.958762","226",
"1325546","39.89283","-104.958762","227",
"1325546","39.892813","-104.958738","228",
"1325546","39.892813","-104.958738","229",
"1325546","39.892797","-104.958713","230",
"1325546","39.892797","-104.958713","231",
"1325546","39.892781","-104.958689","232",
"1325546","39.892781","-104.958689","233",
"1325546","39.892765","-104.958665","234",
"1325546","39.892765","-104.958665","235",
"1325546","39.892749","-104.95864","236",
"1325546","39.892749","-104.95864","237",
"1325546","39.892733","-104.958615","238",
"1325546","39.892733","-104.958615","239",
"1325546","39.892717","-104.958591","240",
"1325546","39.892717","-104.958591","241",
"1325546","39.892701","-104.958566","242",
