"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"34922","34922","Peoria St & 49th Ave","Vehicles Travelling South","39.785922","-104.847209",,,"0",,,"1"
"22003","22003","Broadway & Lee Hill Dr","Vehicles Travelling South","40.061394","-105.282238",,,"0",,,"1"
"15695","15695","Oberon Rd & W 65th Ave","Vehicles Travelling South","39.816151","-105.102919",,,"0",,,"1"
"34989","34989","S Parker Rd & Whitaker Pl","Vehicles Travelling North","39.626933","-104.822939",,,"0",,,"1"
"24705","24705","Sheridan Blvd & W 104th Ave","Vehicles Travelling South","39.884805","-105.053321",,,"0",,,"1"
"23879","23879","S Buckley Rd & Mexico Ave","Vehicles Travelling North","39.68613","-104.790853",,,"0",,,"1"
"26235","26235","W 120th Ave & Perry St","Vehicles Travelling West","39.914286","-105.039759",,,"0",,,"1"
"14075","14075","S Gaylord St & Louisiana Ave","Vehicles Travelling North","39.69317","-104.961687",,,"0",,,"1"
"13765","13765","Federal Blvd & W 88th Ave","Vehicles Travelling North","39.856551","-105.024877",,,"0",,,"1"
"14810","14810","Kipling St & W 32nd Ave","Vehicles Travelling North","39.762288","-105.109519",,,"0",,,"1"
"13047","13047","Colorado Blvd & 11th Ave","Vehicles Travelling South","39.73376","-104.940864",,,"0",,,"1"
"12225","12225","6400 Block Arapahoe Rd","Vehicles Travelling East","40.014621","-105.202388",,,"0",,,"1"
"21374","21374","Market St & 14th St","Vehicles Travelling Northeast","39.748135","-105.00042",,,"0",,,"1"
"12012","12012","Alameda Ave & S Holly St","Vehicles Travelling West","39.711387","-104.922643",,,"0",,,"1"
"20368","20368","S Parker Rd & Lehigh Ave","Vehicles Travelling Southeast","39.647585","-104.829105",,,"0",,,"1"
"33640","33640","Quebec St & MLK Blvd","Vehicles Travelling North","39.762962","-104.902632",,,"0",,,"1"
"26302","26302","Southmoor Station Gate C","Vehicles Travelling West","39.649085","-104.915288",,,"0","33721",,"1"
